EXPECTED_CATEGORY,MENU_ITEM,DETECTED_CARD_TITLE,NUTRITION_INFO_STATUS,NUTRITION_MISMATCH,NUTRITION_SCREENSHOT
Breakfast Craves,Betty's Southern Biscuits & Gravy (w/ Chicken Strips),BETTY'S SOUTHERN BISCUITS & GRAVY,VARIANT_MISMATCH,Calories: INPUT=780 | UAT=620 || Calories from Fat: INPUT=300 | UAT=230 || Total Fat (g): INPUT=32 | UAT=25 || Sat Fat (g): INPUT=13 | UAT=12 || Cholest. (mg): INPUT=50 | UAT=20 || Sodium (mg): INPUT=2290 | UAT=1980 || Carbs (g): INPUT=98 | UAT=86 || Protein (g): INPUT=28 | UAT=16,./output/nutrition-info/screenshots/nutrition/Bettys_Southern_Biscuits_and_Gravy_w_Chicken_Strips_nutrition.png
Breakfast Craves,Monte Cristo,MONTE CRISTO,MATCH,,./output/nutrition-info/screenshots/nutrition/Monte_Cristo_nutrition.png
Breakfast Craves,Sun-Up Breakfast Sandwich,SUN-UP BREAKFAST SANDWICH,MATCH,,./output/nutrition-info/screenshots/nutrition/Sun_Up_Breakfast_Sandwich_nutrition.png
Breakfast Craves,Egg Whites (2) - Substitution,EGG WHITES (2) - SUBSTITUTION,MATCH,,./output/nutrition-info/screenshots/nutrition/Egg_Whites_2_Substitution_nutrition.png
Omelet Obsession,The Mom,THE MOM,MATCH,,./output/nutrition-info/screenshots/nutrition/The_Mom_nutrition.png
Omelet Obsession,Greek,GREEK,MATCH,,./output/nutrition-info/screenshots/nutrition/Greek_nutrition.png
Omelet Obsession,No Name,NO NAME,MATCH,,./output/nutrition-info/screenshots/nutrition/No_Name_nutrition.png
Omelet Obsession,Californian,CALIFORNIAN,MATCH,,./output/nutrition-info/screenshots/nutrition/Californian_nutrition.png
,SMOKED SALMON BENEDICT,,NOT_FOUND,,
Omelet Obsession,The Rancher,THE RANCHER,MATCH,,./output/nutrition-info/screenshots/nutrition/The_Rancher_nutrition.png
Omelet Obsession,Mile High,MILE HIGH,MATCH,,./output/nutrition-info/screenshots/nutrition/Mile_High_nutrition.png
Omelet Obsession,El Fuego,EL FUEGO,MATCH,,./output/nutrition-info/screenshots/nutrition/El_Fuego_nutrition.png
Create Your Own - Omelet,4 Egg Omelet,4 EGG OMELET,MATCH,,./output/nutrition-info/screenshots/nutrition/4_Egg_Omelet_nutrition.png
Create Your Own - Omelet,4 Egg White Omelet,4 EGG OMELET,VARIANT_MISMATCH,Calories: INPUT=130 | UAT=350 || Calories from Fat: INPUT=60 | UAT=230 || Total Fat (g): INPUT=7 | UAT=26 || Sat Fat (g): INPUT=0 | UAT=12 || Cholest. (mg): INPUT=0 | UAT=745 || Sodium (mg): INPUT=215 | UAT=280 || Sugar (g): INPUT=0 | UAT=1 || Protein (g): INPUT=14 | UAT=25,./output/nutrition-info/screenshots/nutrition/4_Egg_White_Omelet_nutrition.png
Create Your Own - Omelet,Avocado (1 oz),AVOCADO (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Avocado_1_oz_nutrition.png
Create Your Own - Omelet,Bell Peppers (1 oz),BELL PEPPERS (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Bell_Peppers_1_oz_nutrition.png
Create Your Own - Omelet,Kalamata Olives (1 oz),KALAMATA OLIVES (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Kalamata_Olives_1_oz_nutrition.png
Create Your Own - Omelet,Tomatoes (1 oz),TOMATOES (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Tomatoes_1_oz_nutrition.png
Create Your Own - Omelet,Onions (1 oz),ONIONS (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Onions_1_oz_nutrition.png
Create Your Own - Omelet,Green Onions (1 oz),ONIONS (1 OZ),VARIANT_MISMATCH,Calories: INPUT=5 | UAT=10 || Dietary Fiber (g): INPUT=1 | UAT=0 || Protein (g): INPUT=1 | UAT=0,./output/nutrition-info/screenshots/nutrition/Green_Onions_1_oz_nutrition.png
Create Your Own - Omelet,Jalapeños (1 oz),JALAPEÑOS (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Jalapen_os_1_oz_nutrition.png
Create Your Own - Omelet,Potatoes (1 oz),POTATOES (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Potatoes_1_oz_nutrition.png
Create Your Own - Omelet,Spinach (1 oz),SPINACH (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Spinach_1_oz_nutrition.png
Create Your Own - Omelet,Mushrooms (1 oz),MUSHROOMS (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Mushrooms_1_oz_nutrition.png
Create Your Own - Omelet,Bacon (1 oz),CANADIAN BACON (1 OZ),VARIANT_MISMATCH,"Calories: INPUT=100 | UAT=35 || Calories from Fat: INPUT=80 | UAT=20 || Total Fat (g): INPUT=9 | UAT=2 || Sat Fat (g): INPUT=3,5 | UAT=1 || Cholest. (mg): INPUT=20 | UAT=15 || Sodium (mg): INPUT=230 | UAT=300 || Protein (g): INPUT=4 | UAT=5",./output/nutrition-info/screenshots/nutrition/Bacon_1_oz_nutrition.png
Create Your Own - Omelet,Sausage (1 oz),TURKEY SAUSAGE (1 OZ),VARIANT_MISMATCH,"Calories: INPUT=100 | UAT=90 || Calories from Fat: INPUT=70 | UAT=60 || Total Fat (g): INPUT=8 | UAT=6 || Sat Fat (g): INPUT=3,5 | UAT=2 || Cholest. (mg): INPUT=25 | UAT=40 || Sodium (mg): INPUT=220 | UAT=270 || Protein (g): INPUT=6 | UAT=7",./output/nutrition-info/screenshots/nutrition/Sausage_1_oz_nutrition.png
Create Your Own - Omelet,Canadian Bacon (1 oz),CANADIAN BACON (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Canadian_Bacon_1_oz_nutrition.png
Create Your Own - Omelet,Corned Beef Hash (1 oz),CORNED BEEF HASH (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Corned_Beef_Hash_1_oz_nutrition.png
Create Your Own - Omelet,Chorizo (1 oz),CHORIZO (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Chorizo_1_oz_nutrition.png
Create Your Own - Omelet,Ham (1 oz),HAM (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Ham_1_oz_nutrition.png
Create Your Own - Omelet,Ground Beef (1 oz),GROUND BEEF (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Ground_Beef_1_oz_nutrition.png
Create Your Own - Omelet,Sliced Turkey (1 oz),SLICED TURKEY (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Sliced_Turkey_1_oz_nutrition.png
Create Your Own - Omelet,Turkey Bacon (1 oz),TURKEY BACON (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Bacon_1_oz_nutrition.png
Create Your Own - Omelet,Turkey Sausage (1 oz),TURKEY SAUSAGE (1 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Sausage_1_oz_nutrition.png
Create Your Own - Omelet,Hollandaise Sauce (2 oz),HOLLANDAISE SAUCE (2 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Hollandaise_Sauce_2_oz_nutrition.png
Create Your Own - Omelet,Sour Cream (2 oz),SOUR CREAM (2 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Sour_Cream_2_oz_nutrition.png
Create Your Own - Omelet,Salsa Fresca (2 oz),SALSA FRESCA (2 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Salsa_Fresca_2_oz_nutrition.png
Create Your Own - Omelet,Guacamole (2 oz),GUACAMOLE (2 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Guacamole_2_oz_nutrition.png
Create Your Own - Omelet,American Cheese (1.5 oz),AMERICAN CHEESE (1.5 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/American_Cheese_1_5_oz_nutrition.png
Create Your Own - Omelet,Swiss Cheese (1.5 oz),SWISS CHEESE (1.5 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Swiss_Cheese_1_5_oz_nutrition.png
Create Your Own - Omelet,Cheddar Cheese (1.5 oz),CHEDDAR CHEESE (1.5 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Cheddar_Cheese_1_5_oz_nutrition.png
Create Your Own - Omelet,Jack Cheese (1.5 oz),JACK CHEESE (1.5 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Jack_Cheese_1_5_oz_nutrition.png
Create Your Own - Omelet,Pepper Jack (1.5 oz),PEPPER JACK (1.5 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Pepper_Jack_1_5_oz_nutrition.png
Create Your Own - Omelet,Provolone Cheese (1.5 oz),PROVOLONE CHEESE (1.5 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Provolone_Cheese_1_5_oz_nutrition.png
Create Your Own - Omelet,Feta Cheese (1.5 oz),FETA CHEESE (1.5 OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Feta_Cheese_1_5_oz_nutrition.png
Benedicts,Choose Two,CHOOSE TWO (LOW RANGE),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Choose_Two_nutrition.png
Benedicts,Choose Two,CHOOSE TWO (LOW RANGE),VARIANT_MISMATCH,"Calories: INPUT=800 | UAT=610 || Calories from Fat: INPUT=420 | UAT=340 || Total Fat (g): INPUT=47 | UAT=38 || Sat Fat (g): INPUT=20 | UAT=18 || Trans Fat (g): INPUT=0,5 | UAT=1 || Cholest. (mg): INPUT=485 | UAT=480 || Sodium (mg): INPUT=1140 | UAT=1200 || Carbs (g): INPUT=54 | UAT=34 || Dietary Fiber (g): INPUT=5 | UAT=1 || Sugar (g): INPUT=16 | UAT=4 || Protein (g): INPUT=42 | UAT=32",./output/nutrition-info/screenshots/nutrition/Choose_Two_nutrition.png
Benedicts,Eggs Benedict,EGGS BENEDICT,MATCH,,./output/nutrition-info/screenshots/nutrition/Eggs_Benedict_nutrition.png
Benedicts,Caprese Benedict,CAPRESE BENEDICT,MATCH,,./output/nutrition-info/screenshots/nutrition/Caprese_Benedict_nutrition.png
Benedicts,Golden State Benedict,GOLDEN STATE BENEDICT,MATCH,,./output/nutrition-info/screenshots/nutrition/Golden_State_Benedict_nutrition.png
Benedicts,Border Benedict,BORDER BENEDICT,MATCH,,./output/nutrition-info/screenshots/nutrition/Border_Benedict_nutrition.png
Benedicts,Sope Benedict,SOPE BENEDICT,MATCH,,./output/nutrition-info/screenshots/nutrition/Sope_Benedict_nutrition.png
Benedicts,Chicken & Waffle Benedict,CHICKEN & WAFFLE BENEDICT,MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_and_Waffle_Benedict_nutrition.png
Skillets,Ranchero Skillet,RANCHERO SKILLET,MATCH,,./output/nutrition-info/screenshots/nutrition/Ranchero_Skillet_nutrition.png
Skillets,Hash Skillet,HASH SKILLET,MATCH,,./output/nutrition-info/screenshots/nutrition/Hash_Skillet_nutrition.png
Skillets,Country Skillet,COUNTRY SKILLET,MATCH,,./output/nutrition-info/screenshots/nutrition/Country_Skillet_nutrition.png
Pancakes & Waffles,Buttermilk Pancakes (Short Stack),BUTTERMILK PANCAKES (SHORT STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Buttermilk_Pancakes_Short_Stack_nutrition.png
Pancakes & Waffles,Buttermilk Pancakes (Full Stack),BUTTERMILK PANCAKES (FULL STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Buttermilk_Pancakes_Full_Stack_nutrition.png
Pancakes & Waffles,Blueberry Pancakes (Short Stack),BLUEBERRY PANCAKES (SHORT STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Blueberry_Pancakes_Short_Stack_nutrition.png
Pancakes & Waffles,Blueberry Pancakes (Full Stack),BLUEBERRY PANCAKES (FULL STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Blueberry_Pancakes_Full_Stack_nutrition.png
Pancakes & Waffles,Banana Pancakes (Short Stack),,NOT_FOUND,,
Pancakes & Waffles,Banana Pancakes (Full Stack),,NOT_FOUND,,
Pancakes & Waffles,Cinnacakes (Short Stack),CINNACAKES (SHORT STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Cinnacakes_Short_Stack_nutrition.png
Pancakes & Waffles,Cinnacakes (Full Stack),CINNACAKES (FULL STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Cinnacakes_Full_Stack_nutrition.png
Pancakes & Waffles,Chocolate Chip Pancakes (Short Stack),CHOCOLATE CHIP PANCAKES (SHORT STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Chocolate_Chip_Pancakes_Short_Stack_nutrition.png
Pancakes & Waffles,Chocolate Chip Pancakes (Full Stack),CHOCOLATE CHIP PANCAKES (FULL STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Chocolate_Chip_Pancakes_Full_Stack_nutrition.png
Pancakes & Waffles,Gluten Free Pancakes (Short Stack),GLUTEN FREE PANCAKES (SHORT STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Gluten_Free_Pancakes_Short_Stack_nutrition.png
Pancakes & Waffles,Gluten Free Pancakes (Full Stack),GLUTEN FREE PANCAKES (FULL STACK),MATCH,,./output/nutrition-info/screenshots/nutrition/Gluten_Free_Pancakes_Full_Stack_nutrition.png
Pancakes & Waffles,Belgian Waffles,BELGIAN WAFFLES,MATCH,,./output/nutrition-info/screenshots/nutrition/Belgian_Waffles_nutrition.png
Pancakes & Waffles,Banana Belgian Waffles,BELGIAN WAFFLES,VARIANT_MISMATCH,Calories: INPUT=480 | UAT=390 || Calories from Fat: INPUT=170 | UAT=240 || Total Fat (g): INPUT=19 | UAT=27 || Sat Fat (g): INPUT=9 | UAT=16 || Trans Fat (g): INPUT=0 | UAT=1 || Cholest. (mg): INPUT=110 | UAT=120 || Carbs (g): INPUT=72 | UAT=33 || Dietary Fiber (g): INPUT=4 | UAT=1 || Sugar (g): INPUT=25 | UAT=3 || Protein (g): INPUT=6 | UAT=5,./output/nutrition-info/screenshots/nutrition/Banana_Belgian_Waffles_nutrition.png
Pancakes & Waffles,Strawberry Belgian Waffles,BELGIAN WAFFLES,VARIANT_MISMATCH,Calories: INPUT=500 | UAT=390 || Calories from Fat: INPUT=160 | UAT=240 || Total Fat (g): INPUT=18 | UAT=27 || Sat Fat (g): INPUT=9 | UAT=16 || Trans Fat (g): INPUT=0 | UAT=1 || Cholest. (mg): INPUT=110 | UAT=120 || Sodium (mg): INPUT=460 | UAT=430 || Carbs (g): INPUT=78 | UAT=33 || Dietary Fiber (g): INPUT=4 | UAT=1 || Sugar (g): INPUT=43 | UAT=3,./output/nutrition-info/screenshots/nutrition/Strawberry_Belgian_Waffles_nutrition.png
Pancakes & Waffles,Chicken & Waffles,CHICKEN & WAFFLES,MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_and_Waffles_nutrition.png
Pancakes & Waffles,Waffle Sandwich,WAFFLE SANDWICH,MATCH,,./output/nutrition-info/screenshots/nutrition/Waffle_Sandwich_nutrition.png
Pancakes & Waffles,Sweet Trio,SWEET TRIO,MATCH,,./output/nutrition-info/screenshots/nutrition/Sweet_Trio_nutrition.png
French Toast & Crepes,Tiki Toast,TIKI TOAST,MATCH,,./output/nutrition-info/screenshots/nutrition/Tiki_Toast_nutrition.png
French Toast & Crepes,Crunchy French Toast,CRUNCHY FRENCH TOAST,MATCH,,./output/nutrition-info/screenshots/nutrition/Crunchy_French_Toast_nutrition.png
French Toast & Crepes,Stuffed French Toast,STUFFED FRENCH TOAST,MATCH,,./output/nutrition-info/screenshots/nutrition/Stuffed_French_Toast_nutrition.png
French Toast & Crepes,Classic French Toast,CRUNCHY FRENCH TOAST,VARIANT_MISMATCH,Calories: INPUT=960 | UAT=1790 || Calories from Fat: INPUT=330 | UAT=580 || Total Fat (g): INPUT=37 | UAT=64 || Sat Fat (g): INPUT=19 | UAT=23 || Cholest. (mg): INPUT=650 | UAT=680 || Sodium (mg): INPUT=900 | UAT=1460 || Carbs (g): INPUT=118 | UAT=252 || Dietary Fiber (g): INPUT=7 | UAT=15 || Sugar (g): INPUT=26 | UAT=84 || Protein (g): INPUT=33 | UAT=47,./output/nutrition-info/screenshots/nutrition/Classic_French_Toast_nutrition.png
French Toast & Crepes,Banana Nutella Crepes,BANANA NUTELLA CREPES,MATCH,,./output/nutrition-info/screenshots/nutrition/Banana_Nutella_Crepes_nutrition.png
French Toast & Crepes,Strawberry Nutella Crepes,STRAWBERRY NUTELLA CREPES,MATCH,,./output/nutrition-info/screenshots/nutrition/Strawberry_Nutella_Crepes_nutrition.png
French Toast & Crepes,Savory Crepes,SAVORY CREPES,MATCH,,./output/nutrition-info/screenshots/nutrition/Savory_Crepes_nutrition.png
Create a Combo,Sausage Links (2),SAUSAGE LINKS (2),MATCH,,./output/nutrition-info/screenshots/nutrition/Sausage_Links_2_nutrition.png
Create a Combo,Sausage Patty (2),SAUSAGE PATTY (2),MATCH,,./output/nutrition-info/screenshots/nutrition/Sausage_Patty_2_nutrition.png
Create a Combo,Bacon (2),BACON (2),MATCH,,./output/nutrition-info/screenshots/nutrition/Bacon_2_nutrition.png
Create a Combo,Applewood Smoked Bacon (2),BACON (2),VARIANT_MISMATCH,Calories: INPUT=260 | UAT=60 || Calories from Fat: INPUT=54 | UAT=40 || Total Fat (g): INPUT=6 | UAT=5 || Protein (g): INPUT=2 | UAT=1,./output/nutrition-info/screenshots/nutrition/Applewood_Smoked_Bacon_2_nutrition.png
Create a Combo,Scrambled or Fried Eggs (2),SCRAMBLED OR FRIED EGGS (2),MATCH,,./output/nutrition-info/screenshots/nutrition/Scrambled_or_Fried_Eggs_2_nutrition.png
Create a Combo,Poached or Boiled Eggs (2),POACHED OR BOILED EGGS (2),MATCH,,./output/nutrition-info/screenshots/nutrition/Poached_or_Boiled_Eggs_2_nutrition.png
Burgers,Old Reliable,OLD RELIABLE,MATCH,,./output/nutrition-info/screenshots/nutrition/Old_Reliable_nutrition.png
Burgers,Add Avocado,ADD AVOCADO,MATCH,,./output/nutrition-info/screenshots/nutrition/Add_Avocado_nutrition.png
Burgers,Add Applewood Bacon,ADD APPLEWOOD BACON,MATCH,,./output/nutrition-info/screenshots/nutrition/Add_Applewood_Bacon_nutrition.png
Burgers,Good Morning Burger,GOOD MORNING BURGER,MATCH,,./output/nutrition-info/screenshots/nutrition/Good_Morning_Burger_nutrition.png
Burgers,Wild West Burger,WILD WEST BURGER,MATCH,,./output/nutrition-info/screenshots/nutrition/Wild_West_Burger_nutrition.png
Burgers,Sub Chicken Breast,SUB CHICKEN BREAST,MATCH,,./output/nutrition-info/screenshots/nutrition/Sub_Chicken_Breast_nutrition.png
Sandwiches,Club Sandwich (Rye),CLUB SANDWICH (RYE),MATCH,,./output/nutrition-info/screenshots/nutrition/Club_Sandwich_Rye_nutrition.png
Sandwiches,Club Sandwich (Sourdough),CLUB SANDWICH (SOURDOUGH),MATCH,,./output/nutrition-info/screenshots/nutrition/Club_Sandwich_Sourdough_nutrition.png
Sandwiches,Club Sandwich (White),CLUB SANDWICH (WHITE),MATCH,,./output/nutrition-info/screenshots/nutrition/Club_Sandwich_White_nutrition.png
Sandwiches,Club Sandwich (Whole Wheat),CLUB SANDWICH (WHOLE WHEAT),MATCH,,./output/nutrition-info/screenshots/nutrition/Club_Sandwich_Whole_Wheat_nutrition.png
Sandwiches,B.L.T. (Rye),B.L.T. (RYE),MATCH,,./output/nutrition-info/screenshots/nutrition/B_L_T_Rye_nutrition.png
Sandwiches,B.L.T. (Sourdough),B.L.T. (SOURDOUGH),MATCH,,./output/nutrition-info/screenshots/nutrition/B_L_T_Sourdough_nutrition.png
Sandwiches,B.L.T. (White),B.L.T. (WHITE),MATCH,,./output/nutrition-info/screenshots/nutrition/B_L_T_White_nutrition.png
Sandwiches,B.L.T. (Whole Wheat),B.L.T. (WHOLE WHEAT),MATCH,,./output/nutrition-info/screenshots/nutrition/B_L_T_Whole_Wheat_nutrition.png
Sandwiches,Add Avocado,ADD AVOCADO,MATCH,,./output/nutrition-info/screenshots/nutrition/Add_Avocado_nutrition.png
Sandwiches,Chicken Caesar Wrap ,,NOT_FOUND,,
Sandwiches,Add Fried Eggs (2),ADD FRIED EGGS (2),MATCH,,./output/nutrition-info/screenshots/nutrition/Add_Fried_Eggs_2_nutrition.png
Sandwiches,Tuna Melt,TUNA MELT,MATCH,,./output/nutrition-info/screenshots/nutrition/Tuna_Melt_nutrition.png
Sandwiches,Southern Chicken Wrap,SOUTHERN CHICKEN WRAP,MATCH,,./output/nutrition-info/screenshots/nutrition/Southern_Chicken_Wrap_nutrition.png
Sandwiches,Buffalo Chicken Wrap,BUFFALO CHICKEN WRAP,MATCH,,./output/nutrition-info/screenshots/nutrition/Buffalo_Chicken_Wrap_nutrition.png
Sandwiches,Crispy Chicken Sandwich,CRISPY CHICKEN SANDWICH,MATCH,,./output/nutrition-info/screenshots/nutrition/Crispy_Chicken_Sandwich_nutrition.png
Fresh Soups & Salads,"Caesar Salad (Half, no dressing)","CAESAR SALAD (HALF, NO DRESSING)",MATCH,,./output/nutrition-info/screenshots/nutrition/Caesar_Salad_Half_no_dressing_nutrition.png
Fresh Soups & Salads,Grilled Chicken Caesar Salad (incl. dressing),GRILLED CHICKEN CAESAR SALAD (INCL. DRESSING),MATCH,,./output/nutrition-info/screenshots/nutrition/Grilled_Chicken_Caesar_Salad_incl_dressing_nutrition.png
Fresh Soups & Salads,Very Berry Salad (incl. raspberry vinaigrette),VERY BERRY SALAD (INCL. RASPBERRY VINAIGRETTE),MATCH,,./output/nutrition-info/screenshots/nutrition/Very_Berry_Salad_incl_raspberry_vinaigrette_nutrition.png
Fresh Soups & Salads,Very Berry Salad Half (incl. raspberry vinaigrette),VERY BERRY SALAD (INCL. RASPBERRY VINAIGRETTE),VARIANT_MISMATCH,Calories: INPUT=530 | UAT=940 || Calories from Fat: INPUT=400 | UAT=680 || Total Fat (g): INPUT=44 | UAT=76 || Sat Fat (g): INPUT=10 | UAT=18 || Cholest. (mg): INPUT=30 | UAT=60 || Sodium (mg): INPUT=260 | UAT=420 || Carbs (g): INPUT=24 | UAT=42 || Dietary Fiber (g): INPUT=2 | UAT=5 || Sugar (g): INPUT=18 | UAT=30 || Protein (g): INPUT=14 | UAT=26,./output/nutrition-info/screenshots/nutrition/Very_Berry_Salad_Half_incl_raspberry_vinaigrette_nutrition.png
Fresh Soups & Salads,House Salad (no dressing),HOUSE SALAD (NO DRESSING),MATCH,,./output/nutrition-info/screenshots/nutrition/House_Salad_no_dressing_nutrition.png
Fresh Soups & Salads,Greek Salad (incl. balsamic vinaigrette),GREEK SALAD (INCL. BALSAMIC VINAIGRETTE),MATCH,,./output/nutrition-info/screenshots/nutrition/Greek_Salad_incl_balsamic_vinaigrette_nutrition.png
Fresh Soups & Salads,Chicken Veggie Soup (Bowl),CHICKEN VEGGIE SOUP (BOWL),MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_Veggie_Soup_Bowl_nutrition.png
Fresh Soups & Salads,Chicken Veggie Soup (Cup),CHICKEN VEGGIE SOUP (CUP),MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_Veggie_Soup_Cup_nutrition.png
Fresh Soups & Salads,Tomato Basil Soup (Bowl),TOMATO BASIL SOUP (BOWL),MATCH,,./output/nutrition-info/screenshots/nutrition/Tomato_Basil_Soup_Bowl_nutrition.png
Fresh Soups & Salads,Tomato Basil Soup (Cup),TOMATO BASIL SOUP (CUP),MATCH,,./output/nutrition-info/screenshots/nutrition/Tomato_Basil_Soup_Cup_nutrition.png
Soup Salad Sandwich Combo,B.L.T. Half (Rye),B.L.T. HALF (RYE),MATCH,,./output/nutrition-info/screenshots/nutrition/B_L_T_Half_Rye_nutrition.png
Soup Salad Sandwich Combo,B.L.T. Half (Sourdough),B.L.T. HALF (SOURDOUGH),MATCH,,./output/nutrition-info/screenshots/nutrition/B_L_T_Half_Sourdough_nutrition.png
Soup Salad Sandwich Combo,B.L.T. Half (White),B.L.T. HALF (WHITE),MATCH,,./output/nutrition-info/screenshots/nutrition/B_L_T_Half_White_nutrition.png
Soup Salad Sandwich Combo,B.L.T. Half (Whole Wheat),B.L.T. HALF (WHOLE WHEAT),MATCH,,./output/nutrition-info/screenshots/nutrition/B_L_T_Half_Whole_Wheat_nutrition.png
Soup Salad Sandwich Combo,Tuna Sandwich Half (Rye),TUNA SANDWICH HALF (RYE),MATCH,,./output/nutrition-info/screenshots/nutrition/Tuna_Sandwich_Half_Rye_nutrition.png
Soup Salad Sandwich Combo,Tuna Sandwich Half (Sourdough),TUNA SANDWICH HALF (SOURDOUGH),MATCH,,./output/nutrition-info/screenshots/nutrition/Tuna_Sandwich_Half_Sourdough_nutrition.png
Soup Salad Sandwich Combo,Tuna Sandwich Half (White),TUNA SANDWICH HALF (WHITE),MATCH,,./output/nutrition-info/screenshots/nutrition/Tuna_Sandwich_Half_White_nutrition.png
Soup Salad Sandwich Combo,Tuna Sandwich Half (Whole Wheat),TUNA SANDWICH HALF (WHOLE WHEAT),MATCH,,./output/nutrition-info/screenshots/nutrition/Tuna_Sandwich_Half_Whole_Wheat_nutrition.png
Soup Salad Sandwich Combo,Turkey Sandwich Half (Rye),TURKEY SANDWICH HALF (RYE),MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Sandwich_Half_Rye_nutrition.png
Soup Salad Sandwich Combo,Turkey Sandwich Half (Sourdough),TURKEY SANDWICH HALF (SOURDOUGH),MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Sandwich_Half_Sourdough_nutrition.png
Soup Salad Sandwich Combo,Turkey Sandwich Half (White),TURKEY SANDWICH HALF (WHITE),MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Sandwich_Half_White_nutrition.png
Soup Salad Sandwich Combo,Turkey Sandwich Half (Whole Wheat),TURKEY SANDWICH HALF (WHOLE WHEAT),MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Sandwich_Half_Whole_Wheat_nutrition.png
Soup Salad Sandwich Combo,Grilled Cheese Half (Rye),GRILLED CHEESE HALF (RYE),MATCH,,./output/nutrition-info/screenshots/nutrition/Grilled_Cheese_Half_Rye_nutrition.png
Soup Salad Sandwich Combo,Grilled Cheese Half (Sourdough),GRILLED CHEESE HALF (SOURDOUGH),MATCH,,./output/nutrition-info/screenshots/nutrition/Grilled_Cheese_Half_Sourdough_nutrition.png
Soup Salad Sandwich Combo,Grilled Cheese Half (White),GRILLED CHEESE HALF (WHITE),MATCH,,./output/nutrition-info/screenshots/nutrition/Grilled_Cheese_Half_White_nutrition.png
Soup Salad Sandwich Combo,Grilled Cheese Half (Whole Wheat),GRILLED CHEESE HALF (WHOLE WHEAT),MATCH,,./output/nutrition-info/screenshots/nutrition/Grilled_Cheese_Half_Whole_Wheat_nutrition.png
Soup Salad Sandwich Combo,"Caesar Salad (Half, no dressing)","CAESAR SALAD (HALF, NO DRESSING)",MATCH,,./output/nutrition-info/screenshots/nutrition/Caesar_Salad_Half_no_dressing_nutrition.png
Soup Salad Sandwich Combo,Very Berry Salad Half (incl. raspberry vinaigrette),VERY BERRY SALAD HALF (INCL. RASPBERRY VINAIGRETTE),MATCH,,./output/nutrition-info/screenshots/nutrition/Very_Berry_Salad_Half_incl_raspberry_vinaigrette_nutrition.png
Soup Salad Sandwich Combo,Chicken Veggie Soup (Cup),CHICKEN VEGGIE SOUP (CUP),MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_Veggie_Soup_Cup_nutrition.png
Soup Salad Sandwich Combo,Tomato Basil Soup (Cup),TOMATO BASIL SOUP (CUP),MATCH,,./output/nutrition-info/screenshots/nutrition/Tomato_Basil_Soup_Cup_nutrition.png
